symbol,ex_low,ex_high,ema_mean,ema_var,count,updated_ms
AXSUSDT,gate,binance,0.0006229505208206,3.510885798009973e-07,32,1761881101736
B2USDT,bybit,binance,0.0008138112213014679,2.2977938335953512e-07,102,1761962088082
B2USDT,bybit,gate,0.0016143422873951,1.8286499803275733e-06,70,1761881101742
B2USDT,binance,gate,0.0013572333535319,1.3952725386470543e-06,55,1761881101744
B3USDT,binance,bybit,0.0003930819071904,5.40818881598889e-07,14,1761866510342
B3USDT,binance,gate,0.0006514698250679,4.3636108529888446e-07,42,1761880150063
B3USDT,bybit,gate,0.0008592693594151,4.695658245149296e-07,67,1761881101747
BABYUSDT,binance,bybit,0.0004947539594282667,4.225974833338544e-07,45,1761963022630
BABYUSDT,binance,gate,0.0008110452239351,5.06724489913212e-07,50,1761878191258
BABYUSDT,bybit,gate,0.0007216663711654,6.959048804996415e-07,50,1761881101755
BADGERUSDT,gate,binance,0.0948439024558431,0.0001365579770324,40,1761706811910
BAKEUSDT,binance,gate,0.2276283821424719,0.0005569575301223,40,1761706811913
BANANAS31USDT,binance,gate,0.0004986079297462,4.660131644070068e-07,35,1761879179836
BANANAS31USDT,binance,bybit,0.0005258797127244879,2.629889451715549e-07,108,1761961145693
BANANAS31USDT,gate,bybit,0.00128734402089,5.129632909469945e-07,70,1761881101764
BANANAUSDT,bybit,binance,0.00031881775305344864,2.708768007754783e-07,38,1761963022640
BANANAUSDT,bybit,gate,0.0009825077099255,4.860634184552757e-07,49,1761881101773
BANANAUSDT,binance,gate,0.0010359872644606,6.651153185901614e-07,62,1761881101771
BANDUSDT,bybit,gate,0.0011725092771011,7.363870938296284e-07,67,1761880150096
BANDUSDT,bybit,binance,0.0008106073472403611,2.1023955427923995e-07,103,1761963022647
BANDUSDT,gate,binance,0.0010280645265392,9.325601163318874e-07,42,1761881101780
BANKUSDT,binance,gate,0.0008314306460601,6.633082487397746e-07,16,1761853090841
BANKUSDT,binance,bybit,0.000917209308179697,6.596866577938128e-07,25,1761963022653
BANKUSDT,gate,bybit,0.000778205043581,4.528529132458898e-07,43,1761881101787
BANUSDT,bybit,gate,0.0011073903000172,7.72159500648926e-07,66,1761881101795
BANUSDT,bybit,binance,0.0022699623082692126,2.708483036278119e-07,118,1761963022659
BANUSDT,gate,binance,0.0015976442713304,9.632005059061368e-07,66,1761881101800
BARDUSDT,bybit,gate,0.0015891577224114,1.1361183692307137e-07,80,1761881101805
BARDUSDT,bybit,binance,0.0014098658626971277,9.566393951591234e-08,118,1761963022665
BARDUSDT,gate,binance,0.0006187111432193,4.410487341503141e-07,56,1761875232763
BASUSDT,gate,binance,0.0010134395688405,8.524082007852207e-07,40,1761875232766
BATUSDT,bybit,binance,0.00023387140554662243,1.343336433321716e-07,81,1761963022675
BATUSDT,bybit,gate,0.0011147145880884,4.0981917882329213e-07,65,1761881101816
BATUSDT,binance,gate,0.0010066306450193,4.7100228035709483e-07,54,1761881101818
BBUSDT,bybit,gate,0.0009738893763351,6.612452810118464e-07,45,1761881101821
BBUSDT,bybit,binance,0.00034604508226687415,1.7179223354450876e-07,65,1761962088141
BBUSDT,gate,binance,0.0005722721194008,4.3803937020666393e-07,35,1761881101825
BCHUSDT,bybit,gate,0.0002892548117683,1.8293940844403086e-07,42,1761873295571
BCHUSDT,bybit,binance,0.0001677004719734789,9.983037371171155e-08,52,1761957427907
BCHUSDT,gate,binance,0.0002591945219523,1.740882998470845e-07,44,1761881101831
BDXNUSDT,gate,binance,0.0013755870557234,9.317813594391954e-07,77,1761881101836
BEAMXUSDT,binance,gate,0.0008493870462157,5.379555368744897e-07,47,1761880150166
BELUSDT,binance,bybit,0.0004621016744110522,2.5869416450303816e-07,103,1761963022703
BELUSDT,binance,gate,0.0005386692759071,4.097088668701067e-07,28,1761881101842
BELUSDT,bybit,gate,8.940067597379333e-05,5.564961532189569e-07,14,1761877196558
BERAUSDT,gate,binance,0.0008356536797659,2.981612538429924e-07,58,1761879179951
BERAUSDT,gate,bybit,0.0010210791741379,3.409382906203521e-07,50,1761878191381
BERAUSDT,binance,bybit,0.00013747747060151178,1.270563429899023e-07,58,1761942597283
BICOUSDT,bybit,gate,0.0009650965531508,7.59005640201063e-07,60,1761881101858
BICOUSDT,bybit,binance,0.0009048222644295711,2.3277081303719906e-07,112,1761963022719
BICOUSDT,gate,binance,0.0010009530070721,4.5398824160540926e-07,51,1761881101862
BIDUSDT,gate,binance,0.0015082809014707,7.984604043396604e-07,60,1761878191398
BIGTIMEUSDT,gate,bybit,0.0007232194354193,3.705569266862287e-07,38,1761881101869
BIGTIMEUSDT,gate,binance,0.0008438587674356,4.239828864916761e-07,40,1761881101872
BIGTIMEUSDT,bybit,binance,0.0002724590123966672,1.3642627391955765e-07,59,1761956509775
BIOUSDT,binance,gate,0.0019417938415098,8.284064921299957e-07,80,1761881101877
BIOUSDT,binance,bybit,0.0014440183608372937,5.384338519593621e-07,118,1761963022733
BIOUSDT,gate,bybit,0.0004749925861066,1.4115916020092542e-07,51,1761881101881
BLASTUSDT,bybit,gate,0.001979793665405,1.380927143828486e-06,78,1761881101885
BLESSUSDT,bybit,gate,0.0002740275265027,2.26388006950965e-07,40,1761881101890
BLESSUSDT,bybit,binance,0.0016045157323421122,1.187769567086293e-06,114,1761963022743
BLESSUSDT,gate,binance,0.0024674424579132,1.337347883685847e-06,77,1761880150225
BLURUSDT,gate,bybit,0.0010316426169991,5.990196200640903e-07,18,1761881101902
BLURUSDT,gate,binance,0.0011116647948224,8.017247403928643e-07,26,1761881101904
BLURUSDT,bybit,binance,0.0003123634145570956,7.517324959094282e-08,81,1761963022756
BMTUSDT,bybit,gate,0.0006888454277713,3.311199088090776e-07,65,1761881101911
BMTUSDT,bybit,binance,0.0005750609960557734,1.1339746499283221e-07,104,1761963022762
BMTUSDT,gate,binance,0.0007852742178963,3.8018862368176507e-07,42,1761880150250
BNBUSDT,bybit,gate,0.0002345279083178,6.201334625134542e-08,61,1761881101919
BNBUSDT,bybit,binance,0.00011773302024038704,3.2644418718071505e-08,78,1761952786014
BNBUSDT,gate,binance,0.0001710730120143,2.3757555943189127e-07,30,1761878191476
BNTUSDT,bybit,gate,0.0009928479113206,5.281329397394952e-07,66,1761881101925
BNTUSDT,bybit,binance,0.0005346760432541849,3.2478052222874555e-07,82,1761962088227
BNTUSDT,gate,binance,0.0005478753380018,2.986495430466582e-07,34,1761881101929
BOBAUSDT,gate,bybit,0.0013895236469332,2.067836637299389e-06,14,1761706812073
BOMEUSDT,gate,bybit,0.0003656372526086,7.260319214455313e-07,12,1761854003872
BOMEUSDT,gate,binance,0.0006279154588395,5.159368600253903e-07,28,1761854003874
BOMEUSDT,bybit,binance,0.0003062502820792062,2.4989180980839895e-07,87,1761962088237
BRETTUSDT,gate,bybit,0.0005104743501366,5.054437261238434e-07,20,1761877196696
BRETTUSDT,gate,binance,0.0004277191784817,2.655099784172463e-07,36,1761881101946
BRETTUSDT,bybit,binance,0.00016203747417636088,1.375683610377017e-07,70,1761963022787
BROCCOLIF3BUSDT,gate,binance,0.0010422849715371,1.4065467315705544e-06,9,1761875232925
